Name of community,Finalist,Province or Territory,Population Based on 2016 Census,Prize category,Challenge statement,Summary,Focus areas,Community system/service areas,Technologies,URL
Austin,No,Quebec,1485,$ 5 million,"In order to meet citizens’ varied expectations, Austin – a member of the “TMForum Connected Citizen Catalyst” – will have the world’s first shared, neutral mass Digital Transport Infrastructure  that will offer the flexibility and agility that is required for supporting smart solutions and that will revolutionize accessibility for rural Canadian communities.","Austin seeks to participate in the soon-to-be-deployed next generation, ultra-broadband, 1 to 10 Gbs to every door, open and dynamic Digital Transport Infrastructure coupled with an initial set of smart-community connected devices and services chosen specifically to meet near-term municipal strategies and operational challenges in order to support the creation of a Connected Citizen Platform Living Lab. Based in part on their participation in the TM Forum Connected Citizen Catalyst Proof-of-Concept project, Austin and its various partners will be setting the table for this community to become a world-class Living Lab site for the development and deployment of a smart-city ecosystem of building-blocks leading to a Smart-Community Business Digital Platform.Through it, we will strive to deliver the capability for smart services in today’s dynamic living environments, services that deliver cleaner, safer, more adaptive environments for its habitants, enterprises and visitors alike. This Connected Citizens Platform enables developers and providers to create and deploy innovative services for cities and citizens. It is based on open standard API’s of the TM Forum and a scalable cloud of enabling solutions. ",Economic opportunity|Environmental quality,Economic development|Environment|Public health|Recreation and parks|Roads and transportation|Waste|Water and wastewater,Cloud computing|Environmental monitoring|Internet of Things (IoT)|Networks|Open data platforms|Sensors,http://www.municipalite.austin.qc.ca
Beaconsfield (group),No,Quebec,19324,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them. In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities. This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture. The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs. Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
Blandford-Blenheim/Oxford County (group),No,Ontario,7399,$ 10 million,"Healthy, energy efficient, affordable buildings - where we live, work and play -  are fundamental to community well-being. Through enhancement of data and technology, Oxford County's Building Transformation project will demonstrate a minimum 10% improvement in  occupant health, a 50% reduction in energy consumption, and an overall affordability improvement of 10%.","Our approach to a Smart Community is based on the premise that our citizens spend most of their time within, or moving between the built environment, and we can most effectively connect with our citizens by providing education and awareness, while concurrently improving the built environment in which they spend most of their lives.Starting with energy modelling and high-performance building design, we will demonstrate how an enhanced built-environment can help reduce poverty, improve health, and enable the development of key services that improve quality of life for our most vulnerable.Through our partnership with Western University, multiple data streams from three Building Transformation projects will enable us to identify building performance success and failure outcomes, leading to opportunities for improvement. This information will empower building occupants to make decisions to improve to their own comfort and affordability outcomes, while enabling economic opportunities with our community, by developing new supply chain and innovative research applications. Oxford believes a Smart City is a Sustainable City. Shaped by our community for our community, the Future Oxford Community Sustainability Plan outlines our community’s vision of a vibrant, prosperous and responsible Oxford for all by achieving community sustainability throughout Oxford. ",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services|Waste|Other: please specify,Artificial intelligence (AI)|Big data analytics|Cloud computing|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Open data platforms|Sensors,http://www.oxfordcounty.ca/smartcities
Boisbriand,No,Quebec,26884,$ 50 million,"Collective synergy at the service of innovationThanks to its Technology Centre, the City of Boisbriand will provide the tools and environment for the development of individual and collective ingenuity through self-learning. In this cooperative context, the City wishes to stimulate the innovation capacity of the citizens so they can build their community of tomorrow.","Our proposal is to build a Technology Centre for the entire population of Boisbriand. This space, both physical and virtual, will facilitate learning and applying the new technologies. The most promising ideas may lead to the creation of new businesses. The Centre will include a FabLab, MediaLab, innovation room, auditorium, development and training lab, group room, workshop, meeting hall, and much more. A room will also be dedicated to the presentation of sustainable development technologies, in order to encourage the citizens to make environmentally friendly choices.The various spaces of the Centre will provide free access during several time slots, some of which can be reserved. In addition, a program of diverse training and activities will be put in place in order to bring the Centre to life. The Centre will have the capacity to host major events such as symposia. Groups will be welcome to take part in activities adapted to their realities. The Technology Centre will be very active on social media and will have a website offering numerous online services. This project will highlight collaboration, ingenuity, the development of partnerships and the emergence of innovative ideas.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Recreation and parks,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Enterprise solutions|Internet of Things (IoT)|Networks|Open data platforms|Video analytics|Wearables,http://www.ville.boisbriand.qc.ca/portrait-municipal/defi-des-villes-intelligentes.html
Bowen Island,No,British Columbia,3680,$ 5 million,"Our community will dramatically reduce its high reliance on single-occupancy internal-combustion vehicles by implementing a Community Mobility Platform - to enable a greater array of on-demand, shared, and low-carbon mobility options—measurably improving mobility choice, public health and safety, while strengthening community connections, supporting local economic opportunities, and lowering carbon emissions.","Bowen Island’s proposed Community Mobility Platform aims to harness the power of mobile, social, local, and real-time technologies—with a dash of crowdsourcing—to address the transportation and mobility challenges endemic to Canada’s smaller, rural cities and towns. The proposed platform would seek to significantly broaden the palette of mobility options available to residents of lower-density communities, including coastal communities, so citizens of all ages and abilities can get where they need to go, when they need to do so, without needing to get behind the wheel of a private vehicle. Residents of small communities across the nation are looking for efficient, affordable, and low-impact mobility and transportation options, and this proposed project would ultimately provide it to them.  Along the way it seeks to reduce greenhouse gas emissions, improve quality of life and public health, and strengthen connections and resilience. The proposed project would not only seek to strengthen local economies in small communities that often depend on tourism or natural-resource revenue, it would drive Canadian clean growth and innovation. Potentially, it could bring a made-in-Canada mobility solution to the world.",Environmental quality|Mobility,Economic development|Environment|Land use planning and development|Public health|Roads and transportation,Autonomous and connected vehicles|Big data analytics|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Wearables,http://www.bowenislandmunicipality.ca/smart-community
Bromont,No,Quebec,9041,$ 5 million,Become the Canadian excellence laboratory  for extensive bicycle use.Our ultimate goal: 70% of residents and visitors use bicycles on a monthly basis (seasonally) within the next five years.,"Like many Canadian Cities, Bromont currently has a traditional network of bicycle trails and paths. To add to the tourism appeal of our city, to improve the health of our fellow residents and to reduce our GHG emissions, we want to become the Canadian laboratory for taking cycling to another level.We therefore want to use cellular technology and connected objects to improve the cycling experience so that cycling can become more systemic and go beyond sports outings. We have no doubt that our initiative could then be applied to other Canadian cities and that the project will help put our country in an advantageous position in the world of cycling and simply around the world.",Environmental quality|Healthy living and recreation,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Recreation and parks|Roads and transportation|Other: please specify,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Wearables,https://www.bromont.net/administration-municipale/defi-des-villes-intelligentes/
Brossard (group),No,Quebec,85721,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them. In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities. This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture. The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs. Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
Cape Breton Regional Municipality (group),No,Nova Scotia,94285,$ 10 million,"After years of out-migration and economic decline, our community will rebuild its once thriving economy by empowering young people through technology-enabled intergenerational knowledge transfer, leadership development, innovation and entrepreneurship in order to reduce out-migration, promote economic development, lower rates of unemployment, and reduce poverty for future generations.","The story of the Cape Breton Regional Municipality’s (CBRM) last century is of a great rise, a great fall and now, through the hard work of communities, governments, businesses, and post-secondary institutions, and with the assistance of the Smart Cities Challenge, the region is poised to begin a great reinvention. A broad coalition of partners from the private, public, academic, and community sectors have come together to develop the Our Brighter, Smarter Future project. Phase One will see advanced technologies, data collection and management techniques used to increase the attachment of youth to their communities, enhance intergenerational knowledge transfer and foster the uptake of leadership, entrepreneurship and innovative skills among youth. Phase Two will take the concept of a smart city one step further by marrying the increased technical capacity of the community’s young people—as a result of various Phase One capacity building activities—to the community’s need for increased use of smart technologies as a means to address a range of challenges.Our Brighter, Smarter Future will result in four primary outcomes that address the major challenges facing the CBRM: increased economic development, creation of new jobs, reduction of net out-migration and reduction of poverty in CBRM.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Recreation and parks|Roads and transportation|Social services|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Wearables,https://www.smartcbrm.com/
Castlegar (group),No,British Columbia,8039,$ 10 million,"Our rural region will work together to measurably improve travel decision-making, road safety, and digital access by decreasing accidents, reducing transportation-related greenhouse gas emissions, and building the capacity of all residents to adopt digital technologies.","Travel Smart – Travel Safe – Travel Virtual. Here in the Kootenays, living rurally makes it difficult and sometimes unsafe to travel.  It also makes it difficult to connect with each other and the outside world.  Smart Kootenays aims to use data and connected technologies to encourage our residents to make climate friendly travel choices, help us to get to our destinations safely, reliably and efficiently, and ensure digital equality for all of our residents, especially our seniors. We will influence the transportation choices our residents and businesses are making by gamifying environmentally friendly commuting choices using a Fitbit style Rural Commuter Challenge app, a related social media campaign, and real world incentives. We will create a single mobile Smart Transportation app that connects travelers with real-time travel data, Uber-style ride-load-delivery share options, and social media integration to allow for ‘Plan B’ travel. We will enable the adoption of digital technologies by providing open access to Virtual Communication Hubs at our libraries and airports, open access to virtual meeting rooms, and capacity building support in the form of training and outreach. The municipalities of Nelson, Trail, Castlegar and Rossland are working alongside our partners to make this desired future a reality.",Economic opportunity|Mobility,Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Roads and transportation,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics,http://smartkootenays.cbrdi.ca
Châteauguay (group),No,Quebec,47906,$ 10 million,"Our entire community will be connected through an innovative and secure community platform that promotes social integration, mutual support and civic engagement.","Our entire community will be interconnected by an innovative and secure platform that promotes integration, mutual support and civic engagement.Facing common challenges such as social isolation, integration of newcomers, vitality of community organizations, local businesses, recreational tourism, and promotion of civic engagement, our group has decided to combine forces to tackle them.In fact, the implementation of our unique multiservice transactional platform, which is the result of an exceptional collaboration between 10 municipalities and an Aboriginal community, aims to revitalize the living environment, develop a sense of belonging and promote mutual assistance, social inclusion and collaborative economy in our communities.This system will also allow users to take advantage of a recognition and rewards program that includes enhancing cooperation and boosting local commerce and culture.The portability of this platform and its flexibility will make it accessible across Canada, even in smaller communities, which will be able to enhance it according to their respective needs.Placed at the heart of the process, the citizen becomes more than ever a vector of change in its environment and contributes to the rise of a constantly more intelligent community.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Mobile applications,http://www.ideescollectives.ca
City of Abbotsford,No,British Columbia,141397,$ 10 million,"To shed our long held title as Canada’s most car dependent Census Metropolitan Area, Abbotsford will create an intelligent primary transit corridor that greatly improves the connectedness of our residents and boosts our sustainable transportation mode share by 50%.","Abbotsford wants to Jump the Queue! For too long, our urban area has been developed in a way that made walking, biking, and taking transit challenging and inefficient. From this, our community has contributed to Canada’s highest share of commuters driving cars and made it difficult for the most vulnerable in our city to access needed services. Residents are aching for other transportation options to be attractive and enjoyable and that’s just what we intend to do by using a smart city approach. Jumping the Queue isn’t just about improving transit, it’s about enable other communities to hop forward towards sustainable transportation too. We’re proposing a three step approach:1)	Partner with TELUS to better understand how people move around. 2)	Focus on planning new transit routes and on safety along our Primary Transit Corridor3)	Installing state-of-the-art GPS tracking systems, the creation of a mobile application and new infrastructure to help display information at bus stops.Our Official Community Plan aspires to make walking, biking, and transit delightful. It will take a lot of hard work to get there, but the Smart Cities Challenge will help us Jump the Queue.",Healthy living and recreation|Mobility,Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services,Artificial intelligence (AI)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics,https://www.abbotsford.ca/city_hall/smart_cities_challenge.htm
City of Brampton,No,Ontario,617994,$ 50 million,Brampton will become Canada’s most inclusive and fastest growing citizen-driven community inspired by the needs and vast potential of its newcomers and youth; our community will be shaped around citizens’ uniquely understood values and ideas to enhance newcomers’ connection to the City and retain youth – our largest enablers of change.,"Brampton’s vision is to be Canada’s first future-ready truly citizen-driven city, with a sharp focus on newcomer inclusion and youth retention. In our fast-growing community, youth and diversity is what sets us apart. Through extensive, inclusive community engagement with over 13,000 residents we selected our key goals:•	Increase the sense of belonging of newcomers and the youth •	Create opportunities to unlock skills and connect with high-value jobs•	Pioneer two-way ongoing and transparent engagement with residents, supported by machine intelligence, to truly understand issues and enable residents to shape their cityOur planned activities will address the root causes of our challenges – transparency and effective engagement – and shape our city as a digital ecosystem, underpinned by our ethos for engaging citizens:1.	Understand the baseline and user needs in real time2.	Co-design solutions with citizens3.	Incentivize participation in design and decision-making4.	Provide experiences to showcase suggested improvements5.	Increase the City’s accountability to implementing citizens’ ideas6.	Foster predictive planning and proactive city development By transforming the way government works and delivers solutions in response to citizens’ needs, we will create a smart city approach that is scalable to all parts of Brampton’s population and cities across Canada.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Land use planning and development|Public health|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics,http://www.brampton.ca/EN/City-Hall/Smart-Cities-Challenge/Pages/Welcome.aspx
